Surface Name,6:F0,6:F1,6:F2,6:F2_W0,6:F3,6:F3_W0,6:F3_W1,6:F4
 01/01 00:10,0,0,0,0,0,0,0,0
 01/01 00:20,0,0,0,0,0,0,0,0
 01/01 00:30,0,0,0,0,0,0,0,0
 01/01 00:40,0,0,0,0,0,0,0,0
 01/01 00:50,0,0,0,0,0,0,0,0
 01/01 01:00,0,0,0,0,0,0,0,0
 01/01 01:10,0.004424779,0.002293578,0.001256281,0.002293578,0.001358696,0.004424779,0.001256281,0.000672948
 01/01 01:20,0.004424779,0.002293578,0.001256281,0.002293578,0.001358696,0.004424779,0.001256281,0.000672948
 01/01 01:30,0.004424779,0.002293578,0.001256281,0.002293578,0.001358696,0.004424779,0.001256281,0.000672948
 01/01 01:40,0.004424779,0.002293578,0.001256281,0.002293578,0.001358696,0.004424779,0.001256281,0.000672948
 01/01 01:50,0.004424779,0.002293578,0.001256281,0.002293578,0.001358696,0.004424779,0.001256281,0.000672948
 01/01 02:00,0.004424779,0.002293578,0.001256281,0.002293578,0.001358696,0.004424779,0.001256281,0.000672948
 01/01 02:10,0.008849558,0.004587156,0.002512563,0.004587156,0.002717391,0.008849558,0.002512563,0.001345895
 01/01 02:20,0.008849558,0.004587156,0.002512563,0.004587156,0.002717391,0.008849558,0.002512563,0.001345895
 01/01 02:30,0.008849558,0.004587156,0.002512563,0.004587156,0.002717391,0.008849558,0.002512563,0.001345895
 01/01 02:40,0.008849558,0.004587156,0.002512563,0.004587156,0.002717391,0.008849558,0.002512563,0.001345895
 01/01 02:50,0.008849558,0.004587156,0.002512563,0.004587156,0.002717391,0.008849558,0.002512563,0.001345895
 01/01 03:00,0.008849558,0.004587156,0.002512563,0.004587156,0.002717391,0.008849558,0.002512563,0.001345895
 01/01 03:10,0.013274336,0.006880734,0.003768844,0.006880734,0.004076087,0.013274336,0.003768844,0.002018843
 01/01 03:20,0.013274336,0.006880734,0.003768844,0.006880734,0.004076087,0.013274336,0.003768844,0.002018843
 01/01 03:30,0.013274336,0.006880734,0.003768844,0.006880734,0.004076087,0.013274336,0.003768844,0.002018843
 01/01 03:40,0.013274336,0.006880734,0.003768844,0.006880734,0.004076087,0.013274336,0.003768844,0.002018843
 01/01 03:50,0.013274336,0.006880734,0.003768844,0.006880734,0.004076087,0.013274336,0.003768844,0.002018843
 01/01 04:00,0.013274336,0.006880734,0.003768844,0.006880734,0.004076087,0.013274336,0.003768844,0.002018843
 01/01 04:10,0.017699115,0.009174312,0.005025126,0.009174312,0.005434783,0.017699115,0.005025126,0.00269179
 01/01 04:20,0.017699115,0.009174312,0.005025126,0.009174312,0.005434783,0.017699115,0.005025126,0.00269179
 01/01 04:30,0.017699115,0.009174312,0.005025126,0.009174312,0.005434783,0.017699115,0.005025126,0.00269179
 01/01 04:40,0.017699115,0.009174312,0.005025126,0.009174312,0.005434783,0.017699115,0.005025126,0.00269179
 01/01 04:50,0.017699115,0.009174312,0.005025126,0.009174312,0.005434783,0.017699115,0.005025126,0.00269179
 01/01 05:00,0.017699115,0.009174312,0.005025126,0.009174312,0.005434783,0.017699115,0.005025126,0.00269179
 01/01 05:10,0.022123894,0.01146789,0.006281407,0.01146789,0.006793478,0.022123894,0.006281407,0.003364738
 01/01 05:20,0.022123894,0.01146789,0.006281407,0.01146789,0.006793478,0.022123894,0.006281407,0.003364738
 01/01 05:30,0.022123894,0.01146789,0.006281407,0.01146789,0.006793478,0.022123894,0.006281407,0.003364738
 01/01 05:40,0.022123894,0.01146789,0.006281407,0.01146789,0.006793478,0.022123894,0.006281407,0.003364738
 01/01 05:50,0.022123894,0.01146789,0.006281407,0.01146789,0.006793478,0.022123894,0.006281407,0.003364738
 01/01 06:00,0.022123894,0.01146789,0.006281407,0.01146789,0.006793478,0.022123894,0.006281407,0.003364738
 01/01 06:10,0.026548673,0.013761468,0.007537688,0.013761468,0.008152174,0.026548673,0.007537688,0.004037685
 01/01 06:20,0.026548673,0.013761468,0.007537688,0.013761468,0.008152174,0.026548673,0.007537688,0.004037685
 01/01 06:30,0.026548673,0.013761468,0.007537688,0.013761468,0.008152174,0.026548673,0.007537688,0.004037685
 01/01 06:40,0.026548673,0.013761468,0.007537688,0.013761468,0.008152174,0.026548673,0.007537688,0.004037685
 01/01 06:50,0.026548673,0.013761468,0.007537688,0.013761468,0.008152174,0.026548673,0.007537688,0.004037685
 01/01 07:00,0.026548673,0.013761468,0.007537688,0.013761468,0.008152174,0.026548673,0.007537688,0.004037685
 01/01 07:10,0.030973451,0.016055046,0.00879397,0.016055046,0.00951087,0.030973451,0.00879397,0.004710633
 01/01 07:20,0.030973451,0.016055046,0.00879397,0.016055046,0.00951087,0.030973451,0.00879397,0.004710633
 01/01 07:30,0.030973451,0.016055046,0.00879397,0.016055046,0.00951087,0.030973451,0.00879397,0.004710633
 01/01 07:40,0.030973451,0.016055046,0.00879397,0.016055046,0.00951087,0.030973451,0.00879397,0.004710633
 01/01 07:50,0.030973451,0.016055046,0.00879397,0.016055046,0.00951087,0.030973451,0.00879397,0.004710633
 01/01 08:00,0.030973451,0.016055046,0.00879397,0.016055046,0.00951087,0.030973451,0.00879397,0.004710633
 01/01 08:10,221.7696128,309.4066312,222.4499516,309.4066312,0.010869565,0.03539823,0.010050251,0.00538358
 01/01 08:20,221.7696128,309.4066312,222.4499516,309.4066312,0.010869565,0.03539823,0.010050251,0.00538358
 01/01 08:30,221.7696128,309.4066312,222.4499516,309.4066312,0.010869565,0.03539823,0.010050251,0.00538358
 01/01 08:40,221.7696128,309.4066312,222.4499516,309.4066312,0.010869565,0.03539823,0.010050251,0.00538358
 01/01 08:50,221.7696128,309.4066312,222.4499516,309.4066312,0.010869565,0.03539823,0.010050251,0.00538358
 01/01 09:00,221.7696128,309.4066312,222.4499516,309.4066312,0.010869565,0.03539823,0.010050251,0.00538358
 01/01 09:10,453.7370409,438.1044929,455.1524519,438.1044929,0.012228261,0.039823009,0.011306533,0.006056528
 01/01 09:20,453.7370409,438.1044929,455.1524519,438.1044929,0.012228261,0.039823009,0.011306533,0.006056528
 01/01 09:30,453.7370409,438.1044929,455.1524519,438.1044929,0.012228261,0.039823009,0.011306533,0.006056528
 01/01 09:40,453.7370409,438.1044929,455.1524519,438.1044929,0.012228261,0.039823009,0.011306533,0.006056528
 01/01 09:50,453.7370409,438.1044929,455.1524519,438.1044929,0.012228261,0.039823009,0.011306533,0.006056528
 01/01 10:00,453.7370409,438.1044929,455.1524519,438.1044929,0.012228261,0.039823009,0.011306533,0.006056528
 01/01 10:10,633.2189381,388.5958647,635.2023819,388.5958647,0.013586957,0.044247788,0.012562814,0.006729475
 01/01 10:20,633.2189381,388.5958647,635.2023819,388.5958647,0.013586957,0.044247788,0.012562814,0.006729475
 01/01 10:30,633.2189381,388.5958647,635.2023819,388.5958647,0.013586957,0.044247788,0.012562814,0.006729475
 01/01 10:40,633.2189381,388.5958647,635.2023819,388.5958647,0.013586957,0.044247788,0.012562814,0.006729475
 01/01 10:50,633.2189381,388.5958647,635.2023819,388.5958647,0.013586957,0.044247788,0.012562814,0.006729475
 01/01 11:00,633.2189381,388.5958647,635.2023819,388.5958647,0.013586957,0.044247788,0.012562814,0.006729475
 01/01 11:10,730.3433883,220.8408373,732.6327558,220.8408373,0.014945652,0.048672566,732.6327558,0.007402423
 01/01 11:20,730.3433883,220.8408373,732.6327558,220.8408373,0.014945652,0.048672566,732.6327558,0.007402423
 01/01 11:30,730.3433883,220.8408373,732.6327558,220.8408373,0.014945652,0.048672566,732.6327558,0.007402423
 01/01 11:40,730.3433883,220.8408373,732.6327558,220.8408373,0.014945652,0.048672566,732.6327558,0.007402423
 01/01 11:50,730.3433883,220.8408373,732.6327558,220.8408373,0.014945652,0.048672566,732.6327558,0.007402423
 01/01 12:00,730.3433883,220.8408373,732.6327558,220.8408373,0.014945652,0.048672566,732.6327558,0.007402423
 01/01 12:10,769.9496947,7.088530734,772.3619299,7.088530734,0.016304348,0.053097345,772.3619299,0.00807537
 01/01 12:20,769.9496947,7.088530734,772.3619299,7.088530734,0.016304348,0.053097345,772.3619299,0.00807537
 01/01 12:30,769.9496947,7.088530734,772.3619299,7.088530734,0.016304348,0.053097345,772.3619299,0.00807537
 01/01 12:40,769.9496947,7.088530734,772.3619299,7.088530734,0.016304348,0.053097345,772.3619299,0.00807537
 01/01 12:50,769.9496947,7.088530734,772.3619299,7.088530734,0.016304348,0.053097345,772.3619299,0.00807537
 01/01 13:00,769.9496947,7.088530734,772.3619299,7.088530734,0.016304348,0.053097345,772.3619299,0.00807537
 01/01 13:10,756.7603982,0.029816514,759.1274749,0.029816514,214.7841937,0.057522124,759.1274749,0.008748318
 01/01 13:20,756.7603982,0.029816514,759.1274749,0.029816514,214.7841937,0.057522124,759.1274749,0.008748318
 01/01 13:30,756.7603982,0.029816514,759.1274749,0.029816514,214.7841937,0.057522124,759.1274749,0.008748318
 01/01 13:40,756.7603982,0.029816514,759.1274749,0.029816514,214.7841937,0.057522124,759.1274749,0.008748318
 01/01 13:50,756.7603982,0.029816514,759.1274749,0.029816514,214.7841937,0.057522124,759.1274749,0.008748318
 01/01 14:00,756.7603982,0.029816514,759.1274749,0.029816514,214.7841937,0.057522124,759.1274749,0.008748318
 01/01 14:10,689.1654049,0.032110092,691.3141725,0.032110092,409.2720149,0.061946903,691.3141725,0.009421265
 01/01 14:20,689.1654049,0.032110092,691.3141725,0.032110092,409.2720149,0.061946903,691.3141725,0.009421265
 01/01 14:30,689.1654049,0.032110092,691.3141725,0.032110092,409.2720149,0.061946903,691.3141725,0.009421265
 01/01 14:40,689.1654049,0.032110092,691.3141725,0.032110092,409.2720149,0.061946903,691.3141725,0.009421265
 01/01 14:50,689.1654049,0.032110092,691.3141725,0.032110092,409.2720149,0.061946903,691.3141725,0.009421265
 01/01 15:00,689.1654049,0.032110092,691.3141725,0.032110092,409.2720149,0.061946903,691.3141725,0.009421265
 01/01 15:10,495.2107898,0.03440367,496.7390989,0.03440367,466.8221959,0.066371681,0.018844221,0.010094213
 01/01 15:20,495.2107898,0.03440367,496.7390989,0.03440367,466.8221959,0.066371681,0.018844221,0.010094213
 01/01 15:30,495.2107898,0.03440367,496.7390989,0.03440367,466.8221959,0.066371681,0.018844221,0.010094213
 01/01 15:40,495.2107898,0.03440367,496.7390989,0.03440367,466.8221959,0.066371681,0.018844221,0.010094213
 01/01 15:50,495.2107898,0.03440367,496.7390989,0.03440367,466.8221959,0.066371681,0.018844221,0.010094213
 01/01 16:00,495.2107898,0.03440367,496.7390989,0.03440367,466.8221959,0.066371681,0.018844221,0.010094213
 01/01 16:10,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
 01/01 16:20,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
 01/01 16:30,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
