Surface Name,6:F0: SurfDifShdgRatioIsoSky,6:F0: SurfDifShdgRatioHoriz,6:F0: ViewFactorSkyIR,6:F0: ViewFactorGroundIR,6:F1: SurfDifShdgRatioIsoSky,6:F1: SurfDifShdgRatioHoriz,6:F1: ViewFactorSkyIR,6:F1: ViewFactorGroundIR,6:F2: SurfDifShdgRatioIsoSky,6:F2: SurfDifShdgRatioHoriz,6:F2: ViewFactorSkyIR,6:F2: ViewFactorGroundIR,6:F2_W0: SurfDifShdgRatioIsoSky,6:F2_W0: SurfDifShdgRatioHoriz,6:F2_W0: ViewFactorSkyIR,6:F2_W0: ViewFactorGroundIR,6:F3: SurfDifShdgRatioIsoSky,6:F3: SurfDifShdgRatioHoriz,6:F3: ViewFactorSkyIR,6:F3: ViewFactorGroundIR,6:F3_W0: SurfDifShdgRatioIsoSky,6:F3_W0: SurfDifShdgRatioHoriz,6:F3_W0: ViewFactorSkyIR,6:F3_W0: ViewFactorGroundIR,6:F3_W1: SurfDifShdgRatioIsoSky,6:F3_W1: SurfDifShdgRatioHoriz,6:F3_W1: ViewFactorSkyIR,6:F3_W1: ViewFactorGroundIR,6:F4: SurfDifShdgRatioIsoSky,6:F4: SurfDifShdgRatioHoriz,6:F4: ViewFactorSkyIR,6:F4: ViewFactorGroundIR
 01/01 00:10,0,0,0.326923,0.333333,0,0,0.346154,0.333333,0,0,0.288462,0.416667,0,0,0.384615,0.25,0,0,0.269231,0.458333,0,0,0.326923,0.395833,0,0,0.384615,0.229167,0,0,0.326923,0.395833
 01/01 00:20,0,0,0.326923,0.333333,0,0,0.346154,0.333333,0,0,0.288462,0.416667,0,0,0.384615,0.25,0,0,0.269231,0.458333,0,0,0.326923,0.395833,0,0,0.384615,0.229167,0,0,0.326923,0.395833
 01/01 00:30,0,0,0.326923,0.333333,0,0,0.346154,0.333333,0,0,0.288462,0.416667,0,0,0.384615,0.25,0,0,0.269231,0.458333,0,0,0.326923,0.395833,0,0,0.384615,0.229167,0,0,0.326923,0.395833
 01/01 00:40,0,0,0.326923,0.333333,0,0,0.346154,0.333333,0,0,0.288462,0.416667,0,0,0.384615,0.25,0,0,0.269231,0.458333,0,0,0.326923,0.395833,0,0,0.384615,0.229167,0,0,0.326923,0.395833
 01/01 00:50,0,0,0.326923,0.333333,0,0,0.346154,0.333333,0,0,0.288462,0.416667,0,0,0.384615,0.25,0,0,0.269231,0.458333,0,0,0.326923,0.395833,0,0,0.384615,0.229167,0,0,0.326923,0.395833
 01/01 01:00,0,0,0.326923,0.333333,0,0,0.346154,0.333333,0,0,0.288462,0.416667,0,0,0.384615,0.25,0,0,0.269231,0.458333,0,0,0.326923,0.395833,0,0,0.384615,0.229167,0,0,0.326923,0.395833
 01/01 01:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 01:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 01:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 01:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 01:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 02:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 02:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 02:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 02:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 02:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 02:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 03:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 03:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
