1,cubewall_unscheduled_0519.eso,cubewall_scheduled_0519.eso,
,,,
Date/Time,[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),
,SHADER_0,SHADER_0,
Year 1 Jan 01 1:00 AM,0,0,0
Year 1 Jan 01 2:00 AM,0,0,0
Year 1 Jan 01 3:00 AM,0,0,0
Year 1 Jan 01 4:00 AM,0,0,0
Year 1 Jan 01 5:00 AM,0,0,0
Year 1 Jan 01 6:00 AM,0,0,0
Year 1 Jan 01 7:00 AM,0,0,0
Year 1 Jan 01 8:00 AM,6.426755577,6.426755577,0
Year 1 Jan 01 9:00 AM,26.13446744,26.13446744,0
Year 1 Jan 01 10:00 AM,36.53327877,36.53327877,0
Year 1 Jan 01 11:00 AM,44.4932073,44.4932073,0
Year 1 Jan 01 12:00 PM,61.80985519,61.80985519,0
Year 1 Jan 01 1:00 PM,65.98916297,65.98916297,0
Year 1 Jan 01 2:00 PM,58.32241049,58.32241049,0
Year 1 Jan 01 3:00 PM,38.00586784,38.00586784,0
Year 1 Jan 01 4:00 PM,17.47881448,17.47881448,0
Year 1 Jan 01 5:00 PM,2.050766405,2.050766405,0
Year 1 Jan 01 6:00 PM,0,0,0
Year 1 Jan 01 7:00 PM,0,0,0
Year 1 Jan 01 8:00 PM,0,0,0
Year 1 Jan 01 9:00 PM,0,0,0
Year 1 Jan 01 10:00 PM,0,0,0
Year 1 Jan 01 11:00 PM,0,0,0
Year 1 Jan 02 12:00 AM,0,0,0
Year 1 Jan 02 1:00 AM,0,0,0
Year 1 Jan 02 2:00 AM,0,0,0
Year 1 Jan 02 3:00 AM,0,0,0
Year 1 Jan 02 4:00 AM,0,0,0
Year 1 Jan 02 5:00 AM,0,0,0
Year 1 Jan 02 6:00 AM,0,0,0
Year 1 Jan 02 7:00 AM,0,0,0
Year 1 Jan 02 8:00 AM,4.790037789,4.790037789,0
Year 1 Jan 02 9:00 AM,22.33087579,22.33087579,0
Year 1 Jan 02 10:00 AM,46.07886591,46.07886591,0
Year 1 Jan 02 11:00 AM,55.16845374,55.16845374,0
Year 1 Jan 02 12:00 PM,67.47601294,67.47601294,0
Year 1 Jan 02 1:00 PM,69.55228614,69.55228614,0
Year 1 Jan 02 2:00 PM,61.44399447,61.44399447,0
Year 1 Jan 02 3:00 PM,44.21481509,44.21481509,0
Year 1 Jan 02 4:00 PM,20.76301533,20.76301533,0
Year 1 Jan 02 5:00 PM,2.705113776,2.705113776,0
Year 1 Jan 02 6:00 PM,0,0,0
Year 1 Jan 02 7:00 PM,0,0,0
Year 1 Jan 02 8:00 PM,0,0,0
Year 1 Jan 02 9:00 PM,0,0,0
Year 1 Jan 02 10:00 PM,0,0,0
Year 1 Jan 02 11:00 PM,0,0,0
Year 1 Jan 03 12:00 AM,0,0,0
Year 1 Jan 03 1:00 AM,0,0,0
Year 1 Jan 03 2:00 AM,0,0,0
Year 1 Jan 03 3:00 AM,0,0,0
Year 1 Jan 03 4:00 AM,0,0,0
Year 1 Jan 03 5:00 AM,0,0,0
Year 1 Jan 03 6:00 AM,0,0,0
Year 1 Jan 03 7:00 AM,0,0,0
Year 1 Jan 03 8:00 AM,8.784895522,8.784895522,0
Year 1 Jan 03 9:00 AM,33.99594275,33.99594275,0
Year 1 Jan 03 10:00 AM,61.12467578,61.12467578,0
Year 1 Jan 03 11:00 AM,77.34296123,77.34296123,0
Year 1 Jan 03 12:00 PM,80.73415959,80.73415959,0
Year 1 Jan 03 1:00 PM,79.48413774,79.48413774,0
Year 1 Jan 03 2:00 PM,72.60429094,72.60429094,0
Year 1 Jan 03 3:00 PM,52.36947228,52.36947228,0
Year 1 Jan 03 4:00 PM,27.14278522,27.14278522,0
Year 1 Jan 03 5:00 PM,3.573256853,3.573256853,0
Year 1 Jan 03 6:00 PM,0,0,0
Year 1 Jan 03 7:00 PM,0,0,0
Year 1 Jan 03 8:00 PM,0,0,0
Year 1 Jan 03 9:00 PM,0,0,0
Year 1 Jan 03 10:00 PM,0,0,0
Year 1 Jan 03 11:00 PM,0,0,0
Year 1 Jan 04 12:00 AM,0,0,0
Year 1 Jan 04 1:00 AM,0,0,0
Year 1 Jan 04 2:00 AM,0,0,0
Year 1 Jan 04 3:00 AM,0,0,0
Year 1 Jan 04 4:00 AM,0,0,0
Year 1 Jan 04 5:00 AM,0,0,0
Year 1 Jan 04 6:00 AM,0,0,0
Year 1 Jan 04 7:00 AM,0,0,0
Year 1 Jan 04 8:00 AM,8.443832319,8.443832319,0
Year 1 Jan 04 9:00 AM,31.13046207,31.13046207,0
Year 1 Jan 04 10:00 AM,51.09490965,51.09490965,0
Year 1 Jan 04 11:00 AM,68.25324593,68.25324593,0
Year 1 Jan 04 12:00 PM,73.12505937,73.12505937,0
Year 1 Jan 04 1:00 PM,71.6496124,71.6496124,0
Year 1 Jan 04 2:00 PM,59.85698815,59.85698815,0
Year 1 Jan 04 3:00 PM,46.34579863,46.34579863,0
