Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:10:00,4.796953E+03,8.939949E+01,3.157151E-01,6.252322E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999033E+01,2.310273E+01,2.599492E+01,7.375510E+01
00:20:00,4.814481E+03,1.024540E+02,3.168686E-01,7.165574E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999027E+01,2.311015E+01,2.599506E+01,7.421121E+01
00:30:00,4.841088E+03,1.136205E+02,3.186193E-01,7.946746E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999020E+01,2.312314E+01,2.599523E+01,7.448760E+01
00:40:00,4.876546E+03,1.228881E+02,3.209522E-01,8.595076E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999013E+01,2.313730E+01,2.599543E+01,7.462450E+01
00:50:00,4.920743E+03,1.302492E+02,3.238601E-01,9.110036E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999007E+01,2.315052E+01,2.599566E+01,7.467816E+01
01:00:00,4.973597E+03,1.357032E+02,3.273376E-01,9.491583E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999001E+01,2.316305E+01,2.599589E+01,7.468859E+01
01:10:00,5.020495E+03,1.267023E+02,3.304228E-01,8.861906E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998995E+01,2.317547E+01,2.599611E+01,7.467656E+01
01:20:00,5.060431E+03,1.165318E+02,3.330499E-01,8.150419E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998993E+01,2.318300E+01,2.599661E+01,7.478861E+01
01:30:00,5.093427E+03,1.051892E+02,3.352205E-01,7.356957E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998992E+01,2.318699E+01,2.599708E+01,7.507063E+01
01:40:00,5.119658E+03,9.259524E+01,3.369461E-01,6.475997E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998991E+01,2.319010E+01,2.599757E+01,7.548811E+01
